,gid,plaid,posid,teamid,teamname,newpos,newposname
58,58,5187,20,799,Saudi Arabia,2,Mid
59,59,5190,22,799,Saudi Arabia,3,Fw
60,60,5178,18,799,Saudi Arabia,2,Mid
61,61,5185,12,799,Saudi Arabia,2,Mid
62,62,5191,1,799,Saudi Arabia,1,Def
63,63,5184,2,799,Saudi Arabia,1,Def
64,64,5188,16,799,Saudi Arabia,2,Mid
65,65,5715,4,799,Saudi Arabia,1,Def
66,66,5714,0,799,Saudi Arabia,0,GK
67,67,5716,12,799,Saudi Arabia,2,Mid
68,68,5717,20,783,Uruguay,2,Mid
69,69,5713,16,799,Saudi Arabia,2,Mid
70,70,5196,22,799,Saudi Arabia,3,Fw
71,71,5645,12,798,Panama,2,Mid
72,72,5638,4,798,Panama,1,Def
73,73,5631,22,798,Panama,3,Fw
74,74,5637,16,798,Panama,2,Mid
75,75,3509,0,782,Belgium,0,GK
76,76,5633,7,782,Belgium,1,Def
77,77,3077,4,782,Belgium,1,Def
78,78,5639,3,782,Belgium,1,Def
79,79,3089,12,782,Belgium,2,Mid
80,80,3176,6,782,Belgium,1,Def
81,81,3289,22,782,Belgium,3,Fw
82,82,5646,14,798,Panama,2,Mid
83,83,5642,14,782,Belgium,2,Mid
84,84,5630,17,782,Belgium,2,Mid
85,85,5636,0,798,Panama,0,GK
86,86,5641,1,798,Panama,1,Def
87,87,5640,9,798,Panama,1,Def
88,88,5628,20,798,Panama,2,Mid
89,89,20005,2,782,Belgium,1,Def
90,90,5634,5,798,Panama,1,Def
91,91,3621,19,782,Belgium,2,Mid
92,92,5635,2,798,Panama,1,Def
93,93,5644,20,798,Panama,2,Mid
94,94,5629,16,798,Panama,2,Mid
95,95,5643,22,798,Panama,3,Fw
96,96,3037,9,782,Belgium,1,Def
97,97,5632,16,782,Belgium,2,Mid
98,98,4831,14,782,Belgium,2,Mid
99,99,5668,22,789,Poland,3,Fw
100,100,4626,3,789,Poland,1,Def
101,101,5666,20,789,Poland,2,Mid
102,102,5691,5,769,Colombia,1,Def
103,103,5695,20,769,Colombia,2,Mid
104,104,5686,10,769,Colombia,1,Def
105,105,5692,18,769,Colombia,2,Mid
106,106,3445,22,769,Colombia,3,Fw
107,107,5669,0,789,Poland,0,GK
108,108,6195,14,789,Poland,2,Mid
109,109,3637,12,789,Poland,2,Mid
110,110,5672,15,789,Poland,2,Mid
111,111,5660,16,789,Poland,2,Mid
112,112,5670,4,789,Poland,1,Def
113,113,5689,16,769,Colombia,2,Mid
114,114,5658,2,789,Poland,1,Def
115,115,5673,11,789,Poland,2,Mid
116,116,6196,2,769,Colombia,1,Def
117,117,4276,0,769,Colombia,0,GK
118,118,6192,8,769,Colombia,1,Def
119,119,3494,4,769,Colombia,1,Def
120,120,5696,1,769,Colombia,1,Def
121,121,6193,8,769,Colombia,1,Def
122,122,5667,20,789,Poland,2,Mid
123,123,5678,18,769,Colombia,2,Mid
124,124,6194,11,789,Poland,2,Mid
125,125,5688,22,769,Colombia,3,Fw
126,126,3034,4,789,Poland,1,Def
127,127,5487,18,771,France,2,Mid
128,128,5485,2,771,France,1,Def
129,129,3604,22,771,France,3,Fw
130,130,5476,1,771,France,1,Def
131,131,5492,4,771,France,1,Def
132,132,3961,12,771,France,2,Mid
133,133,5532,4,784,Peru,1,Def
134,134,5529,10,784,Peru,1,Def
135,135,5526,8,784,Peru,1,Def
136,136,5521,1,784,Peru,1,Def
137,137,5535,22,784,Peru,3,Fw
138,138,5519,18,784,Peru,2,Mid
139,139,3009,16,771,France,2,Mid
140,140,5518,5,784,Peru,1,Def
141,141,20004,14,771,France,2,Mid
142,142,5530,2,784,Peru,1,Def
143,143,3632,11,784,Peru,2,Mid
144,144,4375,20,771,France,2,Mid
145,145,5525,15,784,Peru,2,Mid
146,146,5484,5,771,France,1,Def
147,147,3099,0,771,France,0,GK
148,148,5528,0,784,Peru,0,GK
149,149,5531,18,784,Peru,2,Mid
150,150,5738,4,784,Peru,1,Def
151,151,5477,16,771,France,2,Mid
152,152,5533,20,784,Peru,2,Mid
153,153,2948,18,771,France,2,Mid
154,154,5737,14,771,France,2,Mid
155,155,5661,23,787,Senegal,3,Fw
156,156,5675,4,787,Senegal,1,Def
157,157,5662,2,789,Poland,1,Def
158,158,5663,16,789,Poland,2,Mid
159,159,3404,5,787,Senegal,1,Def
160,160,3629,20,787,Senegal,2,Mid
161,161,3436,12,787,Senegal,2,Mid
162,162,2941,16,787,Senegal,2,Mid
163,163,5664,2,787,Senegal,1,Def
164,164,5674,1,787,Senegal,1,Def
165,165,5671,14,787,Senegal,2,Mid
166,166,5665,18,789,Poland,2,Mid
167,167,5659,0,787,Senegal,0,GK
168,168,3603,21,787,Senegal,3,Fw
169,169,5676,21,787,Senegal,3,Fw
170,170,3555,23,787,Senegal,3,Fw
171,171,3684,14,787,Senegal,2,Mid
172,172,5626,22,791,South Korea,3,Fw
173,173,5607,4,790,Sweden,1,Def
174,174,4417,23,790,Sweden,3,Fw
175,175,5621,5,790,Sweden,1,Def
176,176,5624,14,790,Sweden,2,Mid
177,177,5625,15,790,Sweden,2,Mid
178,178,5617,12,790,Sweden,2,Mid
179,179,5627,14,791,South Korea,2,Mid
180,180,4709,2,790,Sweden,1,Def
181,181,5612,1,790,Sweden,1,Def
182,182,5622,0,790,Sweden,0,GK
183,183,5613,11,790,Sweden,2,Mid
184,184,11098,21,790,Sweden,3,Fw
185,185,5609,5,791,South Korea,1,Def
186,186,5605,14,790,Sweden,2,Mid
187,187,5615,23,790,Sweden,3,Fw
188,188,5611,12,790,Sweden,2,Mid
189,189,5198,22,772,Spain,3,Fw
190,190,5203,9,772,Spain,1,Def
191,191,5201,4,772,Spain,1,Def
192,192,5211,5,772,Spain,1,Def
193,193,5213,2,772,Spain,1,Def
194,194,5216,14,772,Spain,2,Mid
195,195,3064,16,772,Spain,2,Mid
196,196,5209,5,780,Portugal,1,Def
197,197,5204,15,780,Portugal,2,Mid
198,198,5214,14,780,Portugal,2,Mid
199,199,3960,4,780,Portugal,1,Def
200,200,4367,21,780,Portugal,3,Fw
201,201,5207,23,780,Portugal,3,Fw
202,202,3329,1,780,Portugal,1,Def
203,203,3168,12,780,Portugal,2,Mid
204,204,20016,2,780,Portugal,1,Def
205,205,5199,12,772,Spain,2,Mid
206,206,4926,20,772,Spain,2,Mid
207,207,5205,0,780,Portugal,0,GK
208,208,5202,1,772,Spain,1,Def
209,209,3333,0,772,Spain,0,GK
210,210,3193,16,780,Portugal,2,Mid
211,211,5208,14,772,Spain,2,Mid
212,212,4272,15,780,Portugal,2,Mid
213,213,5215,16,780,Portugal,2,Mid
214,214,5217,22,772,Spain,3,Fw
215,215,5218,21,780,Portugal,3,Fw
216,216,5200,16,772,Spain,2,Mid
217,217,3202,22,781,Brazil,3,Fw
218,218,5539,9,781,Brazil,1,Def
219,219,5542,12,781,Brazil,2,Mid
220,220,5551,4,781,Brazil,1,Def
221,221,3501,14,781,Brazil,2,Mid
222,222,5552,5,781,Brazil,1,Def
223,223,4320,20,781,Brazil,2,Mid
224,224,5603,2,786,Serbia,1,Def
225,225,4269,22,786,Serbia,3,Fw
226,226,5547,0,781,Brazil,0,GK
227,227,3381,10,786,Serbia,1,Def
228,228,5596,5,786,Serbia,1,Def
229,229,5591,20,786,Serbia,2,Mid
230,230,3472,16,781,Brazil,2,Mid
231,231,5601,0,786,Serbia,0,GK
232,232,3831,16,786,Serbia,2,Mid
233,233,3295,2,781,Brazil,1,Def
234,234,5589,8,786,Serbia,1,Def
235,235,5587,18,786,Serbia,2,Mid
236,236,6321,4,786,Serbia,1,Def
237,237,5588,1,786,Serbia,1,Def
238,238,5838,1,781,Brazil,1,Def
239,239,6320,5,781,Brazil,1,Def
240,240,3054,12,781,Brazil,2,Mid
241,241,6318,18,786,Serbia,2,Mid
242,242,5553,14,781,Brazil,2,Mid
243,243,5833,20,786,Serbia,2,Mid
244,244,6319,22,786,Serbia,3,Fw
245,245,3186,20,770,Germany,2,Mid
246,246,5574,10,770,Germany,1,Def
247,247,6040,5,770,Germany,1,Def
248,248,3167,4,770,Germany,1,Def
249,249,5578,2,770,Germany,1,Def
250,250,5579,1,770,Germany,1,Def
251,251,6039,8,770,Germany,1,Def
252,252,5559,18,770,Germany,2,Mid
253,253,5562,16,770,Germany,2,Mid
254,254,5557,22,770,Germany,3,Fw
255,255,5570,0,770,Germany,0,GK
256,256,3702,2,790,Sweden,1,Def
257,257,10287,8,770,Germany,1,Def
258,258,5565,20,770,Germany,2,Mid
259,259,6038,21,790,Sweden,3,Fw
260,260,5555,5,770,Germany,1,Def
261,261,19988,11,790,Sweden,2,Mid
262,262,3533,16,773,Switzerland,2,Mid
263,263,5537,2,773,Switzerland,1,Def
264,264,5594,1,786,Serbia,1,Def
265,265,5549,4,773,Switzerland,1,Def
266,266,5543,24,773,Switzerland,3,Fw
267,267,3455,12,786,Serbia,2,Mid
268,268,5548,20,773,Switzerland,2,Mid
269,269,5554,18,773,Switzerland,2,Mid
270,270,5544,5,773,Switzerland,1,Def
271,271,5540,12,773,Switzerland,2,Mid
272,272,3500,14,773,Switzerland,2,Mid
273,273,5541,1,773,Switzerland,1,Def
274,274,5550,0,773,Switzerland,0,GK
275,275,5580,4,786,Serbia,1,Def
276,276,5834,24,773,Switzerland,3,Fw
277,277,5545,18,773,Switzerland,2,Mid
278,278,3094,14,768,England,2,Mid
279,279,3244,3,768,England,1,Def
280,280,3205,2,768,England,1,Def
281,281,3532,9,768,England,1,Def
282,282,3336,4,768,England,1,Def
283,283,3612,15,768,England,2,Mid
284,284,3308,11,768,England,2,Mid
285,285,3293,12,768,England,2,Mid
286,286,5653,0,777,Tunisia,0,GK
287,287,5651,4,777,Tunisia,1,Def
288,288,5647,5,777,Tunisia,1,Def
289,289,5656,2,777,Tunisia,1,Def
290,290,5655,1,777,Tunisia,1,Def
291,291,3557,15,777,Tunisia,2,Mid
292,292,10955,23,768,England,3,Fw
293,293,5650,12,777,Tunisia,2,Mid
294,294,3233,21,768,England,3,Fw
295,295,5654,11,777,Tunisia,2,Mid
296,296,3196,22,777,Tunisia,3,Fw
297,297,3767,9,777,Tunisia,1,Def
298,298,3468,0,768,England,0,GK
299,299,5649,14,777,Tunisia,2,Mid
300,300,5648,0,777,Tunisia,0,GK
301,301,3318,21,768,England,3,Fw
302,302,3504,14,768,England,2,Mid
303,303,5657,11,777,Tunisia,2,Mid
304,304,5652,22,777,Tunisia,3,Fw
305,305,6312,0,779,Argentina,0,GK
306,306,5504,14,779,Argentina,2,Mid
307,307,3602,4,779,Argentina,1,Def
308,308,5507,5,779,Argentina,1,Def
309,309,3090,2,779,Argentina,1,Def
310,310,5742,1,779,Argentina,1,Def
311,311,5496,20,779,Argentina,2,Mid
312,312,5503,22,779,Argentina,3,Fw
313,313,5506,9,779,Argentina,1,Def
314,314,5741,12,779,Argentina,2,Mid
315,315,2995,16,779,Argentina,2,Mid
316,316,6349,4,779,Argentina,1,Def
317,317,3237,22,779,Argentina,3,Fw
318,318,5499,16,779,Argentina,2,Mid
319,319,5480,20,771,France,2,Mid
320,320,3254,16,771,France,2,Mid
321,321,3101,4,782,Belgium,1,Def
322,322,3296,12,782,Belgium,2,Mid
323,323,3535,22,781,Brazil,3,Fw
324,324,5837,16,781,Brazil,2,Mid
325,325,6332,4,782,Belgium,1,Def
326,326,3043,24,776,Denmark,3,Fw
327,327,3027,4,776,Denmark,1,Def
328,328,5527,14,776,Denmark,2,Mid
329,329,3959,12,776,Denmark,2,Mid
330,330,5469,9,785,Croatia,1,Def
331,331,5463,12,785,Croatia,2,Mid
332,332,5536,16,776,Denmark,2,Mid
333,333,5468,4,785,Croatia,1,Def
334,334,5474,15,785,Croatia,2,Mid
335,335,4763,1,776,Denmark,1,Def
336,336,4447,20,776,Denmark,2,Mid
337,337,5732,22,776,Denmark,3,Fw
338,338,5457,5,785,Croatia,1,Def
339,339,6355,5,776,Denmark,1,Def
340,340,5534,2,776,Denmark,1,Def
341,341,5470,14,785,Croatia,2,Mid
342,342,3444,0,785,Croatia,0,GK
343,343,5465,11,785,Croatia,2,Mid
344,344,3815,0,776,Denmark,0,GK
345,345,5461,1,785,Croatia,1,Def
346,346,3471,2,785,Croatia,1,Def
347,347,5472,22,785,Croatia,3,Fw
348,348,5520,12,776,Denmark,2,Mid
349,349,5522,22,776,Denmark,3,Fw
350,350,5456,9,785,Croatia,1,Def
351,351,6308,5,785,Croatia,1,Def
352,352,5460,15,785,Croatia,2,Mid
353,353,6356,14,776,Denmark,2,Mid
354,354,5516,20,776,Denmark,2,Mid
355,355,6305,15,785,Croatia,2,Mid
356,356,5475,13,775,Nigeria,2,Mid
357,357,5455,3,775,Nigeria,1,Def
358,358,3944,10,793,Iceland,1,Def
359,359,5501,5,793,Iceland,1,Def
360,360,5505,2,793,Iceland,1,Def
361,361,5511,4,793,Iceland,1,Def
362,362,5498,0,793,Iceland,0,GK
363,363,5495,11,793,Iceland,2,Mid
364,364,5829,23,793,Iceland,3,Fw
365,365,5515,8,793,Iceland,1,Def
366,366,3338,12,775,Nigeria,2,Mid
367,367,5466,14,775,Nigeria,2,Mid
368,368,5473,21,775,Nigeria,3,Fw
369,369,5454,0,775,Nigeria,0,GK
370,370,5462,15,775,Nigeria,2,Mid
371,371,5830,4,775,Nigeria,1,Def
372,372,5467,2,775,Nigeria,1,Def
373,373,3708,23,775,Nigeria,3,Fw
374,374,3963,11,775,Nigeria,2,Mid
375,375,5514,21,793,Iceland,3,Fw
376,376,5509,15,793,Iceland,2,Mid
377,377,5508,1,793,Iceland,1,Def
378,378,5832,15,775,Nigeria,2,Mid
379,379,5831,4,793,Iceland,1,Def
380,380,5500,23,793,Iceland,3,Fw
381,381,5458,23,775,Nigeria,3,Fw
382,382,5502,8,793,Iceland,1,Def
383,383,3647,18,775,Nigeria,2,Mid
384,384,5471,1,775,Nigeria,1,Def
385,385,5459,22,785,Croatia,3,Fw
386,386,5464,18,775,Nigeria,2,Mid
387,387,5586,22,795,Costa Rica,3,Fw
388,388,5597,0,795,Costa Rica,0,GK
389,389,5595,16,795,Costa Rica,2,Mid
390,390,5598,4,795,Costa Rica,1,Def
391,391,5599,14,795,Costa Rica,2,Mid
392,392,5836,7,795,Costa Rica,1,Def
393,393,5592,20,795,Costa Rica,2,Mid
394,394,5584,3,795,Costa Rica,1,Def
395,395,5590,2,795,Costa Rica,1,Def
396,396,5602,6,795,Costa Rica,1,Def
397,397,5582,12,795,Costa Rica,2,Mid
398,398,5593,16,795,Costa Rica,2,Mid
399,399,5839,15,795,Costa Rica,2,Mid
400,400,5600,4,795,Costa Rica,1,Def
401,401,5561,2,794,Mexico,1,Def
402,402,3496,18,770,Germany,2,Mid
403,403,5569,5,770,Germany,1,Def
404,404,5566,12,770,Germany,2,Mid
405,405,5572,4,770,Germany,1,Def
406,406,5568,20,794,Mexico,2,Mid
407,407,5523,8,784,Peru,1,Def
408,408,3281,14,792,Australia,2,Mid
409,409,5479,5,792,Australia,1,Def
410,410,5488,4,792,Australia,1,Def
411,411,5478,2,792,Australia,1,Def
412,412,5482,1,792,Australia,1,Def
413,413,5493,22,792,Australia,3,Fw
414,414,5481,11,792,Australia,2,Mid
415,415,3240,0,792,Australia,0,GK
416,416,5489,12,792,Australia,2,Mid
417,417,5494,15,792,Australia,2,Mid
418,418,5491,18,792,Australia,2,Mid
419,419,6314,22,792,Australia,3,Fw
420,420,5483,15,792,Australia,2,Mid
421,421,6315,8,784,Peru,1,Def
422,422,5490,18,792,Australia,2,Mid
423,423,6313,11,784,Peru,2,Mid
424,424,6335,1,787,Senegal,1,Def
425,425,3145,20,787,Senegal,2,Mid
426,426,5685,12,769,Colombia,2,Mid
427,427,6334,18,769,Colombia,2,Mid
428,428,6333,22,769,Colombia,3,Fw
429,429,3962,21,787,Senegal,3,Fw
430,430,6138,14,798,Panama,2,Mid
431,431,3252,5,777,Tunisia,1,Def
432,432,6347,12,777,Tunisia,2,Mid
433,433,5936,1,777,Tunisia,1,Def
434,434,6345,2,777,Tunisia,1,Def
435,435,6342,0,777,Tunisia,0,GK
436,436,6344,5,798,Panama,1,Def
437,437,6346,1,798,Panama,1,Def
438,438,6343,4,798,Panama,1,Def
439,439,6348,14,777,Tunisia,2,Mid
440,440,6140,14,798,Panama,2,Mid
441,441,3226,22,777,Tunisia,3,Fw
442,442,6328,4,795,Costa Rica,1,Def
443,443,5581,22,795,Costa Rica,3,Fw
444,444,5585,20,795,Costa Rica,2,Mid
445,445,5538,8,773,Switzerland,1,Def
446,446,5835,22,773,Switzerland,3,Fw
447,447,5546,2,773,Switzerland,1,Def
448,448,6326,20,795,Costa Rica,2,Mid
449,449,6327,14,795,Costa Rica,2,Mid
450,450,6329,6,795,Costa Rica,1,Def
451,451,5486,22,792,Australia,3,Fw
452,452,5174,4,796,Russia,1,Def
453,453,5195,22,796,Russia,3,Fw
454,454,6300,2,783,Uruguay,1,Def
455,455,5172,0,796,Russia,0,GK
456,456,5677,5,796,Russia,1,Def
457,457,6299,18,796,Russia,2,Mid
458,458,5182,16,796,Russia,2,Mid
459,459,5171,8,796,Russia,1,Def
460,460,5175,2,796,Russia,1,Def
461,461,5186,20,796,Russia,2,Mid
462,462,6298,1,796,Russia,1,Def
463,463,5181,10,796,Russia,1,Def
464,464,5170,1,796,Russia,1,Def
465,465,5179,8,796,Russia,1,Def
466,466,5194,20,796,Russia,2,Mid
467,467,6297,23,783,Uruguay,3,Fw
468,468,6357,9,794,Mexico,1,Def
469,469,4372,1,781,Brazil,1,Def
470,470,5524,5,776,Denmark,1,Def
471,471,5583,22,786,Serbia,3,Fw
472,472,3530,1,778,Japan,1,Def
473,473,5693,10,778,Japan,1,Def
474,474,5679,22,778,Japan,3,Fw
475,475,5681,8,778,Japan,1,Def
476,476,5690,5,778,Japan,1,Def
477,477,5682,4,778,Japan,1,Def
478,478,5684,18,778,Japan,2,Mid
479,479,3300,2,778,Japan,1,Def
480,480,5697,16,778,Japan,2,Mid
481,481,5687,20,778,Japan,2,Mid
482,482,3175,0,778,Japan,0,GK
483,483,5694,10,778,Japan,1,Def
484,484,5683,16,778,Japan,2,Mid
485,485,5513,11,779,Argentina,2,Mid
486,486,19597,15,779,Argentina,2,Mid
487,487,3659,0,779,Argentina,0,GK
488,488,5497,22,779,Argentina,3,Fw
489,489,5743,8,779,Argentina,1,Def
490,490,5739,22,785,Croatia,3,Fw
491,491,6351,23,783,Uruguay,3,Fw
492,492,6426,16,783,Uruguay,2,Mid
493,493,3720,16,793,Iceland,2,Mid
494,494,6307,4,785,Croatia,1,Def
495,495,6309,1,785,Croatia,1,Def
496,496,6311,0,785,Croatia,0,GK
497,497,5512,8,793,Iceland,1,Def
498,498,6310,12,785,Croatia,2,Mid
499,499,6306,21,793,Iceland,3,Fw
500,500,6304,20,793,Iceland,2,Mid
501,501,5510,12,779,Argentina,2,Mid
502,502,5719,11,772,Spain,2,Mid
503,503,5177,23,796,Russia,3,Fw
504,504,5193,15,796,Russia,2,Mid
505,505,6353,5,796,Russia,1,Def
506,506,5721,1,772,Spain,1,Def
507,507,6354,16,796,Russia,2,Mid
508,508,5718,11,772,Spain,2,Mid
509,509,2974,14,777,Tunisia,2,Mid
510,510,4826,2,777,Tunisia,1,Def
511,511,3457,23,782,Belgium,3,Fw
512,512,2954,17,782,Belgium,2,Mid
513,513,5517,12,776,Denmark,2,Mid
514,514,3302,11,788,Morocco,2,Mid
515,515,5726,22,788,Morocco,3,Fw
516,516,5237,15,788,Morocco,2,Mid
517,517,5245,5,788,Morocco,1,Def
518,518,5242,14,788,Morocco,2,Mid
519,519,5221,2,788,Morocco,1,Def
520,520,5236,9,788,Morocco,1,Def
521,521,5727,1,788,Morocco,1,Def
522,522,5232,12,788,Morocco,2,Mid
523,523,5219,4,788,Morocco,1,Def
524,524,5233,0,788,Morocco,0,GK
525,525,5724,14,788,Morocco,2,Mid
526,526,6301,22,788,Morocco,3,Fw
527,527,5223,22,788,Morocco,3,Fw
528,528,3063,1,781,Brazil,1,Def
529,529,3707,12,780,Portugal,2,Mid
530,530,6352,1,780,Portugal,1,Def
531,531,6350,12,780,Portugal,2,Mid
532,532,6336,20,789,Poland,2,Mid
533,533,3810,23,778,Japan,3,Fw
534,534,3262,0,789,Poland,0,GK
535,535,4685,5,789,Poland,1,Def
536,536,6191,15,778,Japan,2,Mid
537,537,6338,4,778,Japan,1,Def
538,538,6337,21,778,Japan,3,Fw
539,539,6339,11,778,Japan,2,Mid
540,540,6340,20,789,Poland,2,Mid
541,541,5229,22,788,Morocco,3,Fw
542,542,5227,0,797,Iran,0,GK
543,543,5224,22,797,Iran,3,Fw
544,544,5244,2,788,Morocco,1,Def
545,545,5243,20,788,Morocco,2,Mid
546,546,5239,11,797,Iran,2,Mid
547,547,5222,4,797,Iran,1,Def
548,548,5220,2,797,Iran,1,Def
549,549,5238,12,797,Iran,2,Mid
550,550,5230,5,797,Iran,1,Def
551,551,5231,15,797,Iran,2,Mid
552,552,5241,14,797,Iran,2,Mid
553,553,5235,1,797,Iran,1,Def
554,554,5225,9,797,Iran,1,Def
555,555,5226,12,797,Iran,2,Mid
556,556,5234,1,788,Morocco,1,Def
557,557,5228,9,797,Iran,1,Def
558,558,5240,11,797,Iran,2,Mid
559,559,5722,9,797,Iran,1,Def
560,560,5720,5,797,Iran,1,Def
561,561,5192,11,799,Saudi Arabia,2,Mid
562,562,5180,18,796,Russia,2,Mid
563,563,5197,4,799,Saudi Arabia,1,Def
564,564,5189,0,799,Saudi Arabia,0,GK
565,565,5176,21,799,Saudi Arabia,3,Fw
566,566,5723,11,780,Portugal,2,Mid
567,567,5725,23,788,Morocco,3,Fw
568,568,6317,5,794,Mexico,1,Def
569,569,6316,21,794,Mexico,3,Fw
570,570,4597,12,768,England,2,Mid
571,571,3594,15,768,England,2,Mid
572,572,6139,4,798,Panama,1,Def
573,573,10960,23,768,England,3,Fw
574,574,3314,2,768,England,1,Def
575,575,3664,11,768,England,2,Mid
576,576,3645,4,768,England,1,Def
577,577,6331,2,782,Belgium,1,Def
578,578,6330,20,782,Belgium,2,Mid
579,579,10956,9,768,England,1,Def
580,580,3569,23,768,England,3,Fw
581,581,6360,1,769,Colombia,1,Def
582,582,6359,2,773,Switzerland,1,Def
583,583,6358,1,790,Sweden,1,Def
584,584,3576,15,790,Sweden,2,Mid
585,585,6322,2,770,Germany,1,Def
586,586,6323,2,791,South Korea,1,Def
587,587,6324,16,770,Germany,2,Mid
588,588,6325,15,791,South Korea,2,Mid
589,589,5680,4,769,Colombia,1,Def
590,590,3279,20,769,Colombia,2,Mid
591,591,3531,16,774,Egypt,2,Mid
592,592,3446,1,771,France,1,Def
593,593,2999,4,771,France,1,Def
594,594,3245,20,771,France,2,Mid
595,595,3543,0,771,France,0,GK
596,596,3261,5,771,France,1,Def
597,597,6303,15,776,Denmark,2,Mid
598,598,6302,22,776,Denmark,3,Fw
599,599,4277,12,787,Senegal,2,Mid
600,600,6292,0,774,Egypt,0,GK
601,601,6290,4,799,Saudi Arabia,1,Def
602,602,6291,0,799,Saudi Arabia,0,GK
