,gid,plaid,posid,teamid,teamname,period,newpos,newposname
197,197,5255,12,783,Uruguay,25,2,Mid
198,198,5256,20,783,Uruguay,25,2,Mid
199,199,5248,5,783,Uruguay,25,1,Def
200,200,5264,1,783,Uruguay,25,1,Def
201,201,5260,14,783,Uruguay,25,2,Mid
202,202,4319,23,783,Uruguay,25,3,Fw
203,203,5246,21,783,Uruguay,25,3,Fw
204,204,5249,4,783,Uruguay,25,1,Def
205,205,5267,0,783,Uruguay,25,0,GK
206,206,5259,2,783,Uruguay,25,1,Def
207,207,5259,2,783,Uruguay,26,1,Def
208,208,5260,14,783,Uruguay,26,2,Mid
209,209,5248,5,783,Uruguay,26,1,Def
210,210,4319,23,783,Uruguay,26,3,Fw
211,211,5256,20,783,Uruguay,26,2,Mid
212,212,5255,12,783,Uruguay,26,2,Mid
213,213,5264,1,783,Uruguay,26,1,Def
214,214,5249,4,783,Uruguay,26,1,Def
215,215,5246,21,783,Uruguay,26,3,Fw
216,216,5267,0,783,Uruguay,27,0,GK
217,217,5249,4,783,Uruguay,27,1,Def
218,218,5260,14,783,Uruguay,27,2,Mid
219,219,5255,12,783,Uruguay,27,2,Mid
220,220,5246,21,783,Uruguay,27,3,Fw
221,221,5268,16,783,Uruguay,27,2,Mid
222,222,5264,1,783,Uruguay,27,1,Def
223,223,4063,4,774,Egypt,28,1,Def
224,224,5265,0,774,Egypt,28,0,GK
225,225,5254,2,774,Egypt,28,1,Def
226,226,3878,14,774,Egypt,28,2,Mid
227,227,5250,1,774,Egypt,28,1,Def
228,228,5251,18,774,Egypt,28,2,Mid
229,229,5253,11,774,Egypt,28,2,Mid
230,230,3568,12,774,Egypt,28,2,Mid
231,231,5263,5,774,Egypt,28,1,Def
232,232,5257,22,774,Egypt,28,3,Fw
233,233,5261,15,774,Egypt,28,2,Mid
234,234,5249,4,783,Uruguay,29,1,Def
235,235,5255,12,783,Uruguay,29,2,Mid
236,236,5259,2,783,Uruguay,29,1,Def
237,237,5260,14,783,Uruguay,29,2,Mid
238,238,5248,5,783,Uruguay,29,1,Def
239,239,5256,20,783,Uruguay,29,2,Mid
240,240,4319,23,783,Uruguay,29,3,Fw
241,241,5246,21,783,Uruguay,29,3,Fw
242,242,5268,16,783,Uruguay,29,2,Mid
243,243,5264,1,783,Uruguay,29,1,Def
244,244,5250,1,774,Egypt,30,1,Def
245,245,3568,12,774,Egypt,30,2,Mid
246,246,5257,22,774,Egypt,30,3,Fw
247,247,5261,15,774,Egypt,30,2,Mid
248,248,5251,18,774,Egypt,30,2,Mid
249,249,5263,5,774,Egypt,30,1,Def
250,250,3878,14,774,Egypt,30,2,Mid
251,251,3536,11,774,Egypt,30,2,Mid
252,252,5254,2,774,Egypt,30,1,Def
253,253,5265,0,774,Egypt,30,0,GK
254,254,5248,5,783,Uruguay,31,1,Def
255,255,5260,14,783,Uruguay,31,2,Mid
256,256,4319,23,783,Uruguay,31,3,Fw
257,257,5256,20,783,Uruguay,31,2,Mid
258,258,5246,21,783,Uruguay,31,3,Fw
259,259,5249,4,783,Uruguay,31,1,Def
260,260,5267,0,783,Uruguay,31,0,GK
261,261,5266,12,783,Uruguay,31,2,Mid
262,262,5268,16,783,Uruguay,31,2,Mid
263,263,5264,1,783,Uruguay,31,1,Def
264,264,5259,2,783,Uruguay,31,1,Def
265,265,5571,20,794,Mexico,32,2,Mid
266,266,5575,8,794,Mexico,32,1,Def
267,267,5567,1,794,Mexico,32,1,Def
268,268,5564,2,794,Mexico,32,1,Def
269,269,5573,4,794,Mexico,32,1,Def
270,270,5576,5,794,Mexico,32,1,Def
271,271,5577,0,794,Mexico,32,0,GK
272,272,5556,16,794,Mexico,32,2,Mid
273,273,5560,18,794,Mexico,32,2,Mid
274,274,5573,4,794,Mexico,33,1,Def
275,275,5577,0,794,Mexico,33,0,GK
276,276,5564,2,794,Mexico,33,1,Def
277,277,5576,5,794,Mexico,33,1,Def
278,278,5571,20,794,Mexico,33,2,Mid
279,279,5563,10,794,Mexico,33,1,Def
280,280,5575,8,794,Mexico,33,1,Def
281,281,5567,1,794,Mexico,33,1,Def
282,282,5560,18,794,Mexico,33,2,Mid
283,283,5556,16,794,Mexico,33,2,Mid
284,284,3058,22,794,Mexico,33,3,Fw
285,285,5560,18,794,Mexico,34,2,Mid
286,286,3058,22,794,Mexico,34,3,Fw
287,287,5567,1,794,Mexico,34,1,Def
288,288,5563,10,794,Mexico,34,1,Def
289,289,5564,2,794,Mexico,34,1,Def
290,290,5573,4,794,Mexico,34,1,Def
291,291,5576,5,794,Mexico,34,1,Def
292,292,5577,0,794,Mexico,34,0,GK
293,293,5575,8,794,Mexico,34,1,Def
294,294,5571,20,794,Mexico,34,2,Mid
295,295,5567,1,794,Mexico,35,1,Def
296,296,5556,16,794,Mexico,35,2,Mid
297,297,5575,8,794,Mexico,35,1,Def
298,298,5564,2,794,Mexico,35,1,Def
299,299,5573,4,794,Mexico,35,1,Def
300,300,5571,20,794,Mexico,35,2,Mid
301,301,5563,10,794,Mexico,35,1,Def
302,302,5576,5,794,Mexico,35,1,Def
303,303,5560,18,794,Mexico,35,2,Mid
304,304,5571,20,794,Mexico,36,2,Mid
305,305,5560,18,794,Mexico,36,2,Mid
306,306,5563,10,794,Mexico,36,1,Def
307,307,5556,16,794,Mexico,36,2,Mid
308,308,5564,2,794,Mexico,36,1,Def
309,309,5567,1,794,Mexico,36,1,Def
310,310,5577,0,794,Mexico,36,0,GK
311,311,3058,22,794,Mexico,36,3,Fw
312,312,5563,10,794,Mexico,37,1,Def
313,313,5575,8,794,Mexico,37,1,Def
314,314,5577,0,794,Mexico,37,0,GK
315,315,5576,5,794,Mexico,37,1,Def
316,316,5560,18,794,Mexico,37,2,Mid
317,317,5567,1,794,Mexico,37,1,Def
318,318,5556,16,794,Mexico,37,2,Mid
319,319,5564,2,794,Mexico,37,1,Def
320,320,5573,4,794,Mexico,37,1,Def
321,321,5571,20,794,Mexico,38,2,Mid
322,322,5560,18,794,Mexico,38,2,Mid
323,323,5563,10,794,Mexico,38,1,Def
324,324,5575,8,794,Mexico,38,1,Def
325,325,5564,2,794,Mexico,38,1,Def
326,326,5577,0,794,Mexico,38,0,GK
327,327,5573,4,794,Mexico,38,1,Def
328,328,5567,1,794,Mexico,38,1,Def
329,329,5573,4,794,Mexico,39,1,Def
330,330,5564,2,794,Mexico,39,1,Def
331,331,5567,1,794,Mexico,39,1,Def
332,332,5575,8,794,Mexico,39,1,Def
333,333,5556,16,794,Mexico,39,2,Mid
334,334,5563,10,794,Mexico,39,1,Def
335,335,5571,20,794,Mexico,39,2,Mid
336,336,5608,1,791,South Korea,40,1,Def
337,337,5606,2,791,South Korea,40,1,Def
338,338,5988,8,791,South Korea,40,1,Def
339,339,5604,4,791,South Korea,40,1,Def
340,340,5610,5,791,South Korea,40,1,Def
341,341,5623,18,791,South Korea,40,2,Mid
342,342,5620,20,791,South Korea,40,2,Mid
343,343,5576,5,794,Mexico,41,1,Def
344,344,3058,22,794,Mexico,41,3,Fw
345,345,5573,4,794,Mexico,41,1,Def
346,346,5564,2,794,Mexico,41,1,Def
347,347,5567,1,794,Mexico,41,1,Def
348,348,5560,18,794,Mexico,41,2,Mid
349,349,5575,8,794,Mexico,41,1,Def
350,350,5556,16,794,Mexico,41,2,Mid
351,351,5563,10,794,Mexico,41,1,Def
352,352,5620,21,791,South Korea,42,3,Fw
353,353,3083,23,791,South Korea,42,3,Fw
354,354,5989,11,791,South Korea,42,2,Mid
355,355,5608,1,791,South Korea,42,1,Def
356,356,3605,10,791,South Korea,42,1,Def
357,357,5604,4,791,South Korea,42,1,Def
358,358,5610,5,791,South Korea,42,1,Def
359,359,5623,15,791,South Korea,42,2,Mid
360,360,5988,8,791,South Korea,42,1,Def
361,361,5606,2,791,South Korea,42,1,Def
362,362,5573,4,794,Mexico,43,1,Def
363,363,5575,8,794,Mexico,43,1,Def
364,364,3058,22,794,Mexico,43,3,Fw
365,365,5563,10,794,Mexico,43,1,Def
366,366,5560,18,794,Mexico,43,2,Mid
367,367,5576,5,794,Mexico,43,1,Def
368,368,5564,2,794,Mexico,43,1,Def
369,369,5567,1,794,Mexico,43,1,Def
370,370,5577,0,794,Mexico,43,0,GK
371,371,5556,16,794,Mexico,43,2,Mid
372,372,3605,10,791,South Korea,44,1,Def
373,373,5623,18,791,South Korea,44,2,Mid
374,374,5606,2,791,South Korea,44,1,Def
375,375,5608,1,791,South Korea,44,1,Def
376,376,5988,8,791,South Korea,44,1,Def
377,377,5620,20,791,South Korea,44,2,Mid
378,378,5989,16,791,South Korea,44,2,Mid
379,379,3083,22,791,South Korea,44,3,Fw
380,380,5610,5,791,South Korea,44,1,Def
381,381,5619,0,791,South Korea,45,0,GK
382,382,5989,16,791,South Korea,45,2,Mid
383,383,5610,5,791,South Korea,45,1,Def
384,384,5988,8,791,South Korea,45,1,Def
385,385,3605,10,791,South Korea,45,1,Def
386,386,3083,22,791,South Korea,45,3,Fw
387,387,5608,1,791,South Korea,45,1,Def
388,388,5623,18,791,South Korea,45,2,Mid
389,389,5623,18,791,South Korea,46,2,Mid
390,390,3605,10,791,South Korea,46,1,Def
391,391,5608,1,791,South Korea,46,1,Def
392,392,3083,22,791,South Korea,46,3,Fw
393,393,5989,16,791,South Korea,46,2,Mid
394,394,5988,8,791,South Korea,46,1,Def
395,395,5610,5,791,South Korea,46,1,Def
396,396,5608,1,791,South Korea,47,1,Def
397,397,5606,2,791,South Korea,47,1,Def
398,398,5616,15,791,South Korea,47,2,Mid
399,399,3083,21,791,South Korea,47,3,Fw
400,400,5604,4,791,South Korea,47,1,Def
401,401,5610,5,791,South Korea,47,1,Def
402,402,5620,23,791,South Korea,47,3,Fw
403,403,5623,12,791,South Korea,47,2,Mid
404,404,5577,0,794,Mexico,48,0,GK
405,405,5573,4,794,Mexico,48,1,Def
406,406,5564,2,794,Mexico,48,1,Def
407,407,5558,10,794,Mexico,48,1,Def
408,408,5567,1,794,Mexico,48,1,Def
409,409,3058,22,794,Mexico,48,3,Fw
410,410,5560,18,794,Mexico,48,2,Mid
411,411,3605,14,791,South Korea,49,2,Mid
412,412,5616,15,791,South Korea,49,2,Mid
413,413,3083,21,791,South Korea,49,3,Fw
414,414,5623,12,791,South Korea,49,2,Mid
415,415,5989,11,791,South Korea,49,2,Mid
416,416,5608,1,791,South Korea,49,1,Def
417,417,5619,0,791,South Korea,49,0,GK
418,418,5604,4,791,South Korea,49,1,Def
419,419,5610,5,791,South Korea,49,1,Def
420,420,5577,0,794,Mexico,50,0,GK
421,421,5573,4,794,Mexico,50,1,Def
422,422,5575,8,794,Mexico,50,1,Def
423,423,5558,10,794,Mexico,50,1,Def
424,424,5567,1,794,Mexico,50,1,Def
425,425,5560,18,794,Mexico,50,2,Mid
426,426,5564,2,794,Mexico,50,1,Def
427,427,5985,20,794,Mexico,50,2,Mid
428,428,5604,4,791,South Korea,51,1,Def
429,429,5616,15,791,South Korea,51,2,Mid
430,430,5618,12,791,South Korea,51,2,Mid
431,431,5623,11,791,South Korea,51,2,Mid
432,432,5606,2,791,South Korea,51,1,Def
433,433,3083,23,791,South Korea,51,3,Fw
434,434,5620,21,791,South Korea,51,3,Fw
435,435,5610,5,791,South Korea,51,1,Def
436,436,3605,14,791,South Korea,51,2,Mid
437,437,5608,1,791,South Korea,51,1,Def
438,438,5567,16,794,Mexico,52,2,Mid
439,439,5556,1,794,Mexico,52,1,Def
440,440,5564,2,794,Mexico,52,1,Def
441,441,5573,4,794,Mexico,52,1,Def
442,442,5987,14,794,Mexico,52,2,Mid
443,443,5558,9,794,Mexico,52,1,Def
444,444,5575,12,794,Mexico,52,2,Mid
445,445,3058,22,794,Mexico,52,3,Fw
446,446,5576,5,794,Mexico,52,1,Def
447,447,5985,20,794,Mexico,52,2,Mid
448,448,3058,22,794,Mexico,53,3,Fw
449,449,5575,12,794,Mexico,53,2,Mid
450,450,5558,9,794,Mexico,53,1,Def
451,451,5576,5,794,Mexico,53,1,Def
452,452,5985,20,794,Mexico,53,2,Mid
453,453,5556,1,794,Mexico,53,1,Def
454,454,5564,2,794,Mexico,53,1,Def
455,455,5573,4,794,Mexico,53,1,Def
456,456,5567,16,794,Mexico,53,2,Mid
457,457,3605,14,791,South Korea,54,2,Mid
458,458,5616,15,791,South Korea,54,2,Mid
459,459,3083,23,791,South Korea,54,3,Fw
460,460,5986,5,791,South Korea,54,1,Def
461,461,5604,4,791,South Korea,54,1,Def
462,462,5606,2,791,South Korea,54,1,Def
463,463,5608,1,791,South Korea,54,1,Def
464,464,5618,12,791,South Korea,54,2,Mid
465,465,5623,11,791,South Korea,54,2,Mid
466,466,5558,9,794,Mexico,55,1,Def
467,467,5575,12,794,Mexico,55,2,Mid
468,468,5567,16,794,Mexico,55,2,Mid
469,469,5576,5,794,Mexico,55,1,Def
470,470,5573,4,794,Mexico,55,1,Def
471,471,5985,20,794,Mexico,55,2,Mid
472,472,5564,2,794,Mexico,55,1,Def
473,473,5577,0,794,Mexico,55,0,GK
474,474,5267,0,783,Uruguay,56,0,GK
475,475,5259,2,783,Uruguay,56,1,Def
476,476,5260,14,783,Uruguay,56,2,Mid
477,477,5255,12,783,Uruguay,56,2,Mid
478,478,5248,5,783,Uruguay,56,1,Def
479,479,5249,4,783,Uruguay,56,1,Def
480,480,5256,20,783,Uruguay,56,2,Mid
481,481,5246,23,783,Uruguay,56,3,Fw
482,482,5264,1,783,Uruguay,56,1,Def
483,483,5183,5,799,Saudi Arabia,57,1,Def
484,484,5190,22,799,Saudi Arabia,57,3,Fw
485,485,5178,18,799,Saudi Arabia,57,2,Mid
486,486,5185,12,799,Saudi Arabia,57,2,Mid
487,487,5191,1,799,Saudi Arabia,57,1,Def
488,488,5173,14,799,Saudi Arabia,57,2,Mid
489,489,5184,2,799,Saudi Arabia,57,1,Def
490,490,5188,16,799,Saudi Arabia,57,2,Mid
491,491,5187,20,799,Saudi Arabia,57,2,Mid
492,492,5178,18,799,Saudi Arabia,58,2,Mid
493,493,5183,5,799,Saudi Arabia,58,1,Def
494,494,5187,20,799,Saudi Arabia,58,2,Mid
495,495,5173,14,799,Saudi Arabia,58,2,Mid
496,496,5715,4,799,Saudi Arabia,58,1,Def
497,497,5714,0,799,Saudi Arabia,58,0,GK
498,498,5191,1,799,Saudi Arabia,58,1,Def
499,499,5188,16,799,Saudi Arabia,58,2,Mid
500,500,5185,12,799,Saudi Arabia,58,2,Mid
501,501,5267,0,783,Uruguay,59,0,GK
502,502,5249,4,783,Uruguay,59,1,Def
503,503,5260,14,783,Uruguay,59,2,Mid
504,504,5264,1,783,Uruguay,59,1,Def
505,505,5268,16,783,Uruguay,59,2,Mid
506,506,5256,20,783,Uruguay,59,2,Mid
507,507,5255,12,783,Uruguay,59,2,Mid
508,508,5259,2,783,Uruguay,59,1,Def
509,509,5248,5,783,Uruguay,59,1,Def
510,510,5246,23,783,Uruguay,59,3,Fw
511,511,5183,5,799,Saudi Arabia,60,1,Def
512,512,5173,14,799,Saudi Arabia,60,2,Mid
513,513,5184,2,799,Saudi Arabia,60,1,Def
514,514,5191,1,799,Saudi Arabia,60,1,Def
515,515,5185,12,799,Saudi Arabia,60,2,Mid
516,516,5715,4,799,Saudi Arabia,60,1,Def
517,517,5178,18,799,Saudi Arabia,60,2,Mid
518,518,5187,20,799,Saudi Arabia,60,2,Mid
519,519,5173,14,799,Saudi Arabia,61,2,Mid
520,520,5191,1,799,Saudi Arabia,61,1,Def
521,521,5188,16,799,Saudi Arabia,61,2,Mid
522,522,5184,2,799,Saudi Arabia,61,1,Def
523,523,5185,12,799,Saudi Arabia,61,2,Mid
524,524,5187,20,799,Saudi Arabia,62,2,Mid
525,525,5188,16,799,Saudi Arabia,62,2,Mid
526,526,5185,12,799,Saudi Arabia,62,2,Mid
527,527,5183,5,799,Saudi Arabia,62,1,Def
528,528,5715,4,799,Saudi Arabia,62,1,Def
529,529,5191,1,799,Saudi Arabia,62,1,Def
530,530,5178,18,799,Saudi Arabia,62,2,Mid
531,531,5190,22,799,Saudi Arabia,62,3,Fw
532,532,5173,14,799,Saudi Arabia,62,2,Mid
533,533,5184,2,799,Saudi Arabia,62,1,Def
534,534,5255,12,783,Uruguay,63,2,Mid
535,535,5248,5,783,Uruguay,63,1,Def
536,536,5259,2,783,Uruguay,63,1,Def
537,537,5264,1,783,Uruguay,63,1,Def
538,538,4319,21,783,Uruguay,63,3,Fw
539,539,5256,20,783,Uruguay,63,2,Mid
540,540,5246,23,783,Uruguay,63,3,Fw
541,541,5268,16,783,Uruguay,63,2,Mid
542,542,5714,0,799,Saudi Arabia,64,0,GK
543,543,5173,14,799,Saudi Arabia,64,2,Mid
544,544,5183,5,799,Saudi Arabia,64,1,Def
545,545,5188,16,799,Saudi Arabia,64,2,Mid
546,546,5185,12,799,Saudi Arabia,64,2,Mid
547,547,5715,4,799,Saudi Arabia,64,1,Def
548,548,5187,20,799,Saudi Arabia,64,2,Mid
549,549,5191,1,799,Saudi Arabia,64,1,Def
550,550,5178,18,799,Saudi Arabia,64,2,Mid
551,551,5255,12,783,Uruguay,65,2,Mid
552,552,5264,1,783,Uruguay,65,1,Def
553,553,5260,14,783,Uruguay,65,2,Mid
554,554,5246,23,783,Uruguay,65,3,Fw
555,555,5268,16,783,Uruguay,65,2,Mid
556,556,4319,21,783,Uruguay,65,3,Fw
557,557,5173,14,799,Saudi Arabia,66,2,Mid
558,558,5191,1,799,Saudi Arabia,66,1,Def
559,559,5178,18,799,Saudi Arabia,66,2,Mid
560,560,5187,20,799,Saudi Arabia,66,2,Mid
561,561,5184,2,799,Saudi Arabia,66,1,Def
562,562,5185,12,799,Saudi Arabia,66,2,Mid
563,563,5183,5,799,Saudi Arabia,66,1,Def
564,564,5187,20,799,Saudi Arabia,67,2,Mid
565,565,5191,1,799,Saudi Arabia,67,1,Def
566,566,5185,12,799,Saudi Arabia,67,2,Mid
567,567,5714,0,799,Saudi Arabia,67,0,GK
568,568,5715,4,799,Saudi Arabia,67,1,Def
569,569,5173,14,799,Saudi Arabia,67,2,Mid
570,570,5183,5,799,Saudi Arabia,67,1,Def
571,571,5190,22,799,Saudi Arabia,67,3,Fw
