,index,frompos,topos,frompla,topla,possesteam,teamname,playNum,period,gameid,fromid,toid,newfpos,newtpos,newfposname,newtposname
121,121,9,14,5469,5470,785,Croatia,19,19,8658,11,7,2,2,Mid,Mid
122,122,14,2,5470,3471,785,Croatia,19,19,8658,7,29,2,1,Mid,Def
123,123,2,1,3471,5461,785,Croatia,19,19,8658,29,32,1,1,Def,Def
124,124,1,2,5461,3471,785,Croatia,19,19,8658,32,29,1,1,Def,Def
125,125,2,20,3471,5474,785,Croatia,19,19,8658,29,6,1,2,Def,Mid
126,126,20,12,5474,5463,785,Croatia,19,19,8658,6,2,2,2,Mid,Mid
127,127,12,16,5463,5465,785,Croatia,19,19,8658,2,31,2,2,Mid,Mid
128,128,16,1,5465,5461,785,Croatia,19,19,8658,31,32,2,1,Mid,Def
129,129,14,22,5470,5472,785,Croatia,19,19,8658,7,0,2,3,Mid,Fw
130,130,22,14,5472,5470,785,Croatia,19,19,8658,0,7,3,2,Fw,Mid
131,131,14,20,5470,5474,785,Croatia,19,19,8658,7,6,2,2,Mid,Mid
132,132,20,16,5474,5465,785,Croatia,19,19,8658,6,31,2,2,Mid,Mid
133,133,4,2,5468,3471,785,Croatia,19,19,8658,13,29,1,1,Def,Def
134,134,2,12,3471,5463,785,Croatia,19,19,8658,29,2,1,2,Def,Mid
135,135,12,1,5463,5461,785,Croatia,19,19,8658,2,32,2,1,Mid,Def
136,136,1,2,5461,3471,785,Croatia,19,19,8658,32,29,1,1,Def,Def
137,137,2,12,3471,5463,785,Croatia,19,19,8658,29,2,1,2,Def,Mid
138,138,2,9,3471,5469,785,Croatia,19,19,8658,29,11,1,2,Def,Mid
139,139,9,12,5469,5463,785,Croatia,19,19,8658,11,2,2,2,Mid,Mid
140,140,12,1,5463,5461,785,Croatia,19,19,8658,2,32,2,1,Mid,Def
141,141,5,10,5484,3961,771,France,20,20,8658,37,16,1,2,Def,Mid
142,142,10,15,3961,4375,771,France,20,20,8658,16,19,2,2,Mid,Mid
143,143,15,8,4375,20004,771,France,20,20,8658,19,24,2,2,Mid,Mid
144,144,2,10,5485,3961,771,France,20,20,8658,17,16,1,2,Def,Mid
145,145,15,10,4375,3961,771,France,20,20,8658,19,16,2,2,Mid,Mid
146,146,10,11,3961,3009,771,France,20,20,8658,16,42,2,2,Mid,Mid
147,147,16,5,5465,5457,785,Croatia,21,21,8658,31,9,2,1,Mid,Def
148,148,5,14,5457,5470,785,Croatia,21,21,8658,9,7,1,2,Def,Mid
149,149,23,2,3604,5485,771,France,22,22,8658,22,17,3,1,Fw,Def
150,150,2,5,5485,5484,771,France,22,22,8658,17,37,1,1,Def,Def
151,151,5,23,5484,3604,771,France,22,22,8658,37,22,1,3,Def,Fw
152,152,21,11,5487,3009,771,France,22,22,8658,41,42,3,2,Fw,Mid
153,153,11,21,3009,5487,771,France,22,22,8658,42,41,2,3,Mid,Fw
154,154,20,22,5474,5472,785,Croatia,23,23,8658,6,0,2,3,Mid,Fw
155,155,2,21,5485,5487,771,France,24,24,8658,17,41,1,3,Def,Fw
156,156,22,9,5472,5469,785,Croatia,25,25,8658,0,11,3,2,Fw,Mid
157,157,9,12,5469,5463,785,Croatia,25,25,8658,11,2,2,2,Mid,Mid
158,158,12,1,5463,5461,785,Croatia,25,25,8658,2,32,2,1,Mid,Def
159,159,1,2,5461,3471,785,Croatia,25,25,8658,32,29,1,1,Def,Def
160,160,2,4,3471,5468,785,Croatia,25,25,8658,29,13,1,1,Def,Def
161,161,4,14,5468,5470,785,Croatia,25,25,8658,13,7,1,2,Def,Mid
162,162,14,2,5470,3471,785,Croatia,25,25,8658,7,29,2,1,Mid,Def
163,163,2,1,3471,5461,785,Croatia,25,25,8658,29,32,1,1,Def,Def
164,164,1,20,5461,5474,785,Croatia,25,25,8658,32,6,1,2,Def,Mid
165,165,5,10,5484,3961,771,France,26,26,8658,37,16,1,2,Def,Mid
166,166,10,15,3961,4375,771,France,26,26,8658,16,19,2,2,Mid,Mid
167,167,15,23,4375,3604,771,France,26,26,8658,19,22,2,3,Mid,Fw
168,168,12,4,5463,5468,785,Croatia,27,27,8658,2,13,2,1,Mid,Def
169,169,0,23,3099,3604,771,France,28,28,8658,18,22,0,3,GK,Fw
170,170,12,1,5463,5461,785,Croatia,29,29,8658,2,32,2,1,Mid,Def
171,171,5,4,5484,5492,771,France,30,30,8658,37,20,1,1,Def,Def
172,172,12,1,5463,5461,785,Croatia,31,31,8658,2,32,2,1,Mid,Def
173,173,1,9,5461,5469,785,Croatia,31,31,8658,32,11,1,2,Def,Mid
174,174,9,12,5469,5463,785,Croatia,31,31,8658,11,2,2,2,Mid,Mid
175,175,15,8,4375,20004,771,France,32,32,8658,19,24,2,2,Mid,Mid
176,176,8,11,20004,3009,771,France,32,32,8658,24,42,2,2,Mid,Mid
177,177,14,16,5470,5465,785,Croatia,33,33,8658,7,31,2,2,Mid,Mid
178,178,9,12,5469,5463,785,Croatia,33,33,8658,11,2,2,2,Mid,Mid
179,179,2,22,3471,5472,785,Croatia,33,33,8658,29,0,1,3,Def,Fw
180,180,22,14,5472,5470,785,Croatia,33,33,8658,0,7,3,2,Fw,Mid
181,181,20,2,5474,3471,785,Croatia,33,33,8658,6,29,2,1,Mid,Def
182,182,21,5,5487,5484,771,France,34,34,8658,41,37,3,1,Fw,Def
183,183,1,20,5461,5474,785,Croatia,35,35,8658,32,6,1,2,Def,Mid
184,184,21,11,5487,3009,771,France,36,36,8658,41,42,3,2,Fw,Mid
185,185,5,16,5457,5465,785,Croatia,37,37,8658,9,31,1,2,Def,Mid
186,186,9,1,5469,5461,785,Croatia,37,37,8658,11,32,2,1,Mid,Def
187,187,1,22,5461,5472,785,Croatia,37,37,8658,32,0,1,3,Def,Fw
188,188,4,23,5492,3604,771,France,38,38,8658,20,22,1,3,Def,Fw
189,189,5,23,5484,3604,771,France,38,38,8658,37,22,1,3,Def,Fw
190,190,1,14,5461,5470,785,Croatia,39,39,8658,32,7,1,2,Def,Mid
191,191,14,9,5470,5469,785,Croatia,39,39,8658,7,11,2,2,Mid,Mid
192,192,5,15,5484,4375,771,France,40,40,8658,37,19,1,2,Def,Mid
193,193,15,23,4375,3604,771,France,40,40,8658,19,22,2,3,Mid,Fw
194,194,2,14,3471,5470,785,Croatia,41,41,8658,29,7,1,2,Def,Mid
195,195,21,1,5487,5476,771,France,42,42,8658,41,38,3,1,Fw,Def
196,196,1,11,5476,3009,771,France,42,42,8658,38,42,1,2,Def,Mid
197,197,16,4,5465,5468,785,Croatia,43,43,8658,31,13,2,1,Mid,Def
198,198,4,22,5468,5472,785,Croatia,43,43,8658,13,0,1,3,Def,Fw
199,199,22,20,5472,5474,785,Croatia,43,43,8658,0,6,3,2,Fw,Mid
200,200,1,22,5461,5472,785,Croatia,43,43,8658,32,0,1,3,Def,Fw
201,201,22,2,5472,3471,785,Croatia,43,43,8658,0,29,3,1,Fw,Def
202,202,1,8,5476,20004,771,France,44,44,8658,38,24,1,2,Def,Mid
203,203,1,23,5476,3604,771,France,44,44,8658,38,22,1,3,Def,Fw
204,204,2,0,5485,3099,771,France,44,44,8658,17,18,1,0,Def,GK
205,205,0,1,3099,5476,771,France,44,44,8658,18,38,0,1,GK,Def
206,206,1,11,5476,3009,771,France,44,44,8658,38,42,1,2,Def,Mid
207,207,20,12,5474,5463,785,Croatia,45,45,8658,6,2,2,2,Mid,Mid
208,208,12,9,5463,5469,785,Croatia,45,45,8658,2,11,2,2,Mid,Mid
209,209,9,12,5469,5463,785,Croatia,45,45,8658,11,2,2,2,Mid,Mid
210,210,12,22,5463,5472,785,Croatia,45,45,8658,2,0,2,3,Mid,Fw
211,211,5,8,5484,20004,771,France,46,46,8658,37,24,1,2,Def,Mid
212,212,8,21,20004,5487,771,France,46,46,8658,24,41,2,3,Mid,Fw
213,213,12,2,5463,3471,785,Croatia,47,47,8658,2,29,2,1,Mid,Def
214,214,2,0,3471,3444,785,Croatia,47,47,8658,29,4,1,0,Def,GK
215,215,0,4,3444,5468,785,Croatia,47,47,8658,4,13,0,1,GK,Def
216,216,4,9,5468,5469,785,Croatia,47,47,8658,13,11,1,2,Def,Mid
217,217,9,4,5469,5468,785,Croatia,47,47,8658,11,13,2,1,Mid,Def
218,218,9,14,5469,5470,785,Croatia,47,47,8658,11,7,2,2,Mid,Mid
219,219,14,22,5470,5472,785,Croatia,47,47,8658,7,0,2,3,Mid,Fw
220,220,22,14,5472,5470,785,Croatia,47,47,8658,0,7,3,2,Fw,Mid
221,221,14,20,5470,5474,785,Croatia,47,47,8658,7,6,2,2,Mid,Mid
222,222,5,23,5484,3604,771,France,48,48,8658,37,22,1,3,Def,Fw
223,223,12,22,5463,5472,785,Croatia,49,49,8658,2,0,2,3,Mid,Fw
224,224,22,20,5472,5474,785,Croatia,49,49,8658,0,6,3,2,Fw,Mid
225,225,5,23,5484,3604,771,France,50,50,8658,37,22,1,3,Def,Fw
226,226,14,2,5470,3471,785,Croatia,51,51,8658,7,29,2,1,Mid,Def
227,227,2,0,3471,3444,785,Croatia,51,51,8658,29,4,1,0,Def,GK
228,228,0,1,3444,5461,785,Croatia,51,51,8658,4,32,0,1,GK,Def
229,229,1,2,5461,3471,785,Croatia,51,51,8658,32,29,1,1,Def,Def
230,230,2,12,3471,5463,785,Croatia,51,51,8658,29,2,1,2,Def,Mid
231,231,12,1,5463,5461,785,Croatia,51,51,8658,2,32,2,1,Mid,Def
232,232,1,20,5461,5474,785,Croatia,51,51,8658,32,6,1,2,Def,Mid
233,233,20,12,5474,5463,785,Croatia,51,51,8658,6,2,2,2,Mid,Mid
234,234,12,22,5463,5472,785,Croatia,51,51,8658,2,0,2,3,Mid,Fw
235,235,0,11,3099,3009,771,France,52,52,8658,18,42,0,2,GK,Mid
236,236,1,2,5461,3471,785,Croatia,53,53,8658,32,29,1,1,Def,Def
237,237,2,4,3471,5468,785,Croatia,53,53,8658,29,13,1,1,Def,Def
238,238,4,14,5468,5470,785,Croatia,53,53,8658,13,7,1,2,Def,Mid
239,239,14,20,5470,5474,785,Croatia,53,53,8658,7,6,2,2,Mid,Mid
240,240,20,5,5474,5457,785,Croatia,53,53,8658,6,9,2,1,Mid,Def
241,241,20,16,5474,5465,785,Croatia,53,53,8658,6,31,2,2,Mid,Mid
242,242,0,23,3099,3604,771,France,54,54,8658,18,22,0,3,GK,Fw
243,243,23,11,3604,3009,771,France,54,54,8658,22,42,3,2,Fw,Mid
244,244,2,9,3471,5469,785,Croatia,55,55,8658,29,11,1,2,Def,Mid
245,245,9,16,5469,5465,785,Croatia,55,55,8658,11,31,2,2,Mid,Mid
246,246,12,4,5463,5468,785,Croatia,55,55,8658,2,13,2,1,Mid,Def
247,247,4,14,5468,5470,785,Croatia,55,55,8658,13,7,1,2,Def,Mid
248,248,14,9,5470,5469,785,Croatia,55,55,8658,7,11,2,2,Mid,Mid
249,249,9,2,5469,3471,785,Croatia,55,55,8658,11,29,2,1,Mid,Def
250,250,2,1,3471,5461,785,Croatia,55,55,8658,29,32,1,1,Def,Def
251,251,1,2,5461,3471,785,Croatia,55,55,8658,32,29,1,1,Def,Def
252,252,2,9,3471,5469,785,Croatia,55,55,8658,29,11,1,2,Def,Mid
253,253,9,4,5469,5468,785,Croatia,55,55,8658,11,13,2,1,Mid,Def
254,254,4,5,5468,5457,785,Croatia,55,55,8658,13,9,1,1,Def,Def
255,255,5,20,5457,5474,785,Croatia,55,55,8658,9,6,1,2,Def,Mid
256,256,20,5,5474,5457,785,Croatia,55,55,8658,6,9,2,1,Mid,Def
257,257,5,9,5457,5469,785,Croatia,55,55,8658,9,11,1,2,Def,Mid
258,258,9,12,5469,5463,785,Croatia,55,55,8658,11,2,2,2,Mid,Mid
259,259,12,2,5463,3471,785,Croatia,55,55,8658,2,29,2,1,Mid,Def
260,260,2,1,3471,5461,785,Croatia,55,55,8658,29,32,1,1,Def,Def
261,261,1,16,5461,5465,785,Croatia,55,55,8658,32,31,1,2,Def,Mid
262,262,1,12,5461,5463,785,Croatia,55,55,8658,32,2,1,2,Def,Mid
263,263,12,1,5463,5461,785,Croatia,55,55,8658,2,32,2,1,Mid,Def
264,264,12,14,5463,5470,785,Croatia,55,55,8658,2,7,2,2,Mid,Mid
265,265,4,0,5468,3444,785,Croatia,55,55,8658,13,4,1,0,Def,GK
266,266,0,2,3444,3471,785,Croatia,55,55,8658,4,29,0,1,GK,Def
267,267,2,9,3471,5469,785,Croatia,55,55,8658,29,11,1,2,Def,Mid
268,268,9,12,5469,5463,785,Croatia,55,55,8658,11,2,2,2,Mid,Mid
269,269,12,1,5463,5461,785,Croatia,55,55,8658,2,32,2,1,Mid,Def
270,270,1,12,5461,5463,785,Croatia,55,55,8658,32,2,1,2,Def,Mid
271,271,12,20,5463,5474,785,Croatia,55,55,8658,2,6,2,2,Mid,Mid
272,272,14,16,5470,5465,785,Croatia,55,55,8658,7,31,2,2,Mid,Mid
273,273,14,2,5470,3471,785,Croatia,55,55,8658,7,29,2,1,Mid,Def
274,274,1,14,5461,5470,785,Croatia,55,55,8658,32,7,1,2,Def,Mid
275,275,14,4,5470,5468,785,Croatia,55,55,8658,7,13,2,1,Mid,Def
276,276,12,16,5463,5465,785,Croatia,55,55,8658,2,31,2,2,Mid,Mid
277,277,2,21,5485,5487,771,France,56,56,8658,17,41,1,3,Def,Fw
278,278,21,15,5487,4375,771,France,56,56,8658,41,19,3,2,Fw,Mid
279,279,15,4,4375,5492,771,France,56,56,8658,19,20,2,1,Mid,Def
280,280,9,20,5469,5474,785,Croatia,57,57,8658,11,6,2,2,Mid,Mid
281,281,20,22,5474,5472,785,Croatia,57,57,8658,6,0,2,3,Mid,Fw
282,282,0,23,3099,3604,771,France,58,58,8658,18,22,0,3,GK,Fw
283,283,1,9,5461,5469,785,Croatia,59,59,8658,32,11,1,2,Def,Mid
284,284,9,4,5469,5468,785,Croatia,59,59,8658,11,13,2,1,Mid,Def
285,285,4,2,5468,3471,785,Croatia,59,59,8658,13,29,1,1,Def,Def
286,286,2,1,3471,5461,785,Croatia,59,59,8658,29,32,1,1,Def,Def
287,287,23,5,3604,5484,771,France,60,60,8658,22,37,3,1,Fw,Def
288,288,5,11,5484,3009,771,France,60,60,8658,37,42,1,2,Def,Mid
289,289,14,9,5470,5469,785,Croatia,61,61,8658,7,11,2,2,Mid,Mid
290,290,9,12,5469,5463,785,Croatia,61,61,8658,11,2,2,2,Mid,Mid
291,291,12,9,5463,5469,785,Croatia,61,61,8658,2,11,2,2,Mid,Mid
292,292,9,1,5469,5461,785,Croatia,61,61,8658,11,32,2,1,Mid,Def
293,293,1,20,5461,5474,785,Croatia,61,61,8658,32,6,1,2,Def,Mid
294,294,21,2,5487,5485,771,France,62,62,8658,41,17,3,1,Fw,Def
295,295,14,5,5470,5457,785,Croatia,63,63,8658,7,9,2,1,Mid,Def
296,296,5,20,5457,5474,785,Croatia,63,63,8658,9,6,1,2,Def,Mid
297,297,1,11,5476,3009,771,France,64,64,8658,38,42,1,2,Def,Mid
298,298,11,21,3009,5487,771,France,64,64,8658,42,41,2,3,Mid,Fw
299,299,2,4,5485,5492,771,France,64,64,8658,17,20,1,1,Def,Def
300,300,4,21,5492,5487,771,France,64,64,8658,20,41,1,3,Def,Fw
301,301,21,15,5487,4375,771,France,64,64,8658,41,19,3,2,Fw,Mid
302,302,1,12,5461,5463,785,Croatia,65,65,8658,32,2,1,2,Def,Mid
303,303,12,14,5463,5470,785,Croatia,65,65,8658,2,7,2,2,Mid,Mid
304,304,14,16,5470,5465,785,Croatia,65,65,8658,7,31,2,2,Mid,Mid
305,305,16,1,5465,5461,785,Croatia,65,65,8658,31,32,2,1,Mid,Def
306,306,0,8,3099,20004,771,France,66,66,8658,18,24,0,2,GK,Mid
307,307,1,8,5476,20004,771,France,66,66,8658,38,24,1,2,Def,Mid
308,308,8,1,20004,5476,771,France,66,66,8658,24,38,2,1,Mid,Def
309,309,1,23,5476,3604,771,France,66,66,8658,38,22,1,3,Def,Fw
310,310,23,21,3604,5487,771,France,66,66,8658,22,41,3,3,Fw,Fw
311,311,9,12,5469,5463,785,Croatia,67,67,8658,11,2,2,2,Mid,Mid
312,312,12,9,5463,5469,785,Croatia,67,67,8658,2,11,2,2,Mid,Mid
313,313,9,1,5469,5461,785,Croatia,67,67,8658,11,32,2,1,Mid,Def
314,314,1,2,5461,3471,785,Croatia,67,67,8658,32,29,1,1,Def,Def
315,315,2,4,3471,5468,785,Croatia,67,67,8658,29,13,1,1,Def,Def
316,316,4,2,5468,3471,785,Croatia,67,67,8658,13,29,1,1,Def,Def
317,317,2,12,3471,5463,785,Croatia,67,67,8658,29,2,1,2,Def,Mid
318,318,12,1,5463,5461,785,Croatia,67,67,8658,2,32,2,1,Mid,Def
319,319,22,12,5472,5463,785,Croatia,67,67,8658,0,2,3,2,Fw,Mid
320,320,12,1,5463,5461,785,Croatia,67,67,8658,2,32,2,1,Mid,Def
321,321,9,1,5469,5461,785,Croatia,67,67,8658,11,32,2,1,Mid,Def
322,322,1,2,5461,3471,785,Croatia,67,67,8658,32,29,1,1,Def,Def
323,323,2,14,3471,5470,785,Croatia,67,67,8658,29,7,1,2,Def,Mid
324,324,14,16,5470,5465,785,Croatia,67,67,8658,7,31,2,2,Mid,Mid
325,325,12,2,5463,3471,785,Croatia,67,67,8658,2,29,2,1,Mid,Def
326,326,0,23,3099,3604,771,France,68,68,8658,18,22,0,3,GK,Fw
327,327,21,5,5487,5484,771,France,68,68,8658,41,37,3,1,Fw,Def
